  Time (min)    V neg      V pos       Cur (A/m2)    Temp (C)   Heat Gen (W/m3)
   0.000000    0.182736    4.223399     20.0000     24.850000   0.0000000E+00
   0.000333    0.182747    4.223295     20.0000     24.850000   1.9665856E+03
   0.000667    0.182755    4.223232     20.0000     24.850000   1.9727106E+03
   0.001033    0.182762    4.223180     20.0000     24.850000   1.9778172E+03
   0.001437    0.182769    4.223133     20.0000     24.850000   1.9824682E+03
   0.001880    0.182777    4.223089     20.0000     24.850000   1.9868997E+03
   0.002368    0.182784    4.223045     20.0000     24.850000   1.9912346E+03
   0.002905    0.182792    4.223001     20.0000     24.850000   1.9955488E+03
   0.003496    0.182800    4.222958     20.0000     24.850000   1.9998932E+03
   0.004145    0.182808    4.222913     20.0000     24.850000   2.0043067E+03
   0.004860    0.182816    4.222868     20.0000     24.850000   2.0088195E+03
   0.005646    0.182825    4.222821     20.0000     24.850000   2.0134574E+03
   0.006510    0.182835    4.222772     20.0000     24.850000   2.0182428E+03
   0.007461    0.182845    4.222722     20.0000     24.850000   2.0231964E+03
   0.008508    0.182855    4.222669     20.0000     24.850000   2.0283372E+03
   0.009658    0.182866    4.222615     20.0000     24.850000   2.0336839E+03
   0.010924    0.182878    4.222557     20.0000     24.850000   2.0392541E+03
   0.012317    0.182890    4.222498     20.0000     24.850000   2.0450656E+03
   0.013848    0.182902    4.222435     20.0000     24.850000   2.0511359E+03
   0.015533    0.182916    4.222369     20.0000     24.850000   2.0574828E+03
   0.017386    0.182930    4.222299     20.0000     24.850000   2.0641241E+03
   0.019425    0.182944    4.222226     20.0000     24.850000   2.0710782E+03
   0.021667    0.182960    4.222149     20.0000     24.850000   2.0783633E+03
   0.024134    0.182976    4.222067     20.0000     24.850000   2.0859987E+03
   0.026848    0.182993    4.221981     20.0000     24.850000   2.0940037E+03
   0.029832    0.183011    4.221891     20.0000     24.850000   2.1023983E+03
   0.033116    0.183030    4.221795     20.0000     24.850000   2.1112028E+03
   0.036727    0.183050    4.221693     20.0000     24.850000   2.1204383E+03
   0.040700    0.183071    4.221586     20.0000     24.850000   2.1301262E+03
   0.045070    0.183092    4.221473     20.0000     24.850000   2.1402886E+03
   0.049877    0.183115    4.221353     20.0000     24.850000   2.1509478E+03
   0.055165    0.183140    4.221227     20.0000     24.850000   2.1621270E+03
   0.060981    0.183165    4.221093     20.0000     24.850000   2.1738494E+03
   0.067379    0.183192    4.220951     20.0000     24.850000   2.1861388E+03
   0.074417    0.183220    4.220801     20.0000     24.850000   2.1990189E+03
   0.082159    0.183251    4.220642     20.0000     24.850000   2.2125141E+03
   0.090675    0.183282    4.220475     20.0000     24.850000   2.2266480E+03
   0.100042    0.183316    4.220298     20.0000     24.850000   2.2414444E+03
   0.110346    0.183352    4.220111     20.0000     24.850000   2.2569259E+03
   0.121681    0.183391    4.219914     20.0000     24.850000   2.2731143E+03
   0.134149    0.183432    4.219705     20.0000     24.850000   2.2900289E+03
   0.147864    0.183476    4.219486     20.0000     24.850000   2.3076869E+03
   0.162951    0.183523    4.219254     20.0000     24.850000   2.3261011E+03
   0.179546    0.183574    4.219011     20.0000     24.850000   2.3452798E+03
   0.197800    0.183628    4.218755     20.0000     24.850000   2.3652245E+03
   0.217880    0.183687    4.218485     20.0000     24.850000   2.3859292E+03
   0.239968    0.183750    4.218203     20.0000     24.850000   2.4073784E+03
   0.264265    0.183818    4.217907     20.0000     24.850000   2.4295461E+03
   0.290992    0.183891    4.217598     20.0000     24.850000   2.4523950E+03
   0.320391    0.183970    4.217274     20.0000     24.850000   2.4758755E+03
   0.352730    0.184054    4.216937     20.0000     24.850000   2.4999263E+03
   0.388303    0.184145    4.216586     20.0000     24.850000   2.5244746E+03
